symbol,date,quality_score
AAL,2012-12-31,0.40238727612818054
AAL,2013-12-31,0.371551638622531
AAL,2014-12-31,0.6117158680054706
AAL,2015-12-31,0.7221544441936143
AAP,2012-12-29,0.340477089541161
AAP,2013-12-28,0.2357641299024312
AAP,2015-01-03,0.4057284122712282
AAP,2016-01-02,0.26724241755477157
AAPL,2013-09-28,0.9999999845617061
AAPL,2014-09-27,0.7499999787806229
AAPL,2015-09-26,0.7499999775332968
AAPL,2016-09-24,0.7499999619390493
ABBV,2012-12-31,0.5493831069879715
ABBV,2013-12-31,0.5517038641914288
ABBV,2014-12-31,0.5740860981355281
ABBV,2015-12-31,0.7300688795076793
ABC,2013-09-30,0.22413989685498237
ABC,2014-09-30,0.2940148765403724
ABC,2015-09-30,0.1744869548151068
ABC,2016-09-30,0.08372049576191729
ABT,2012-12-31,0.378397761008267
ABT,2013-12-31,0.5076111008480787
ABT,2014-12-31,0.5080917128760233
ABT,2015-12-31,0.7286633445218909
ADBE,2013-11-29,0.3333333333333333
ADBE,2014-11-28,0.25
ADBE,2015-11-27,0.25
ADBE,2016-12-02,0.25
ADI,2013-11-02,0.3333333333333333
ADI,2014-11-01,0.25
ADI,2015-10-31,0.770851416741578
ADI,2016-10-29,0.25
ADM,2012-12-31,0.4134915743409446
ADM,2013-12-31,0.4754816474935937
ADM,2014-12-31,0.4488385178838535
ADM,2015-12-31,0.7108455941099332
ADS,2012-12-31,0.452000846068959
ADS,2013-12-31,0.49567452215540153
ADS,2014-12-31,0.48592609877683
ADS,2015-12-31,0.7456982851016112
ADSK,2013-01-31,0.2600812113474106
ADSK,2014-01-31,0.3591479210595177
ADSK,2015-01-31,0.21015817653547653
ADSK,2016-01-31,0.11948352649839655
AEE,2012-12-31,0.44631762307388173
AEE,2013-12-31,0.4799579719734174
AEE,2014-12-31,0.5034792816355218
AEE,2015-12-31,0.7400980444586773
AEP,2012-12-31,0.4246894931148204
AEP,2013-12-31,0.46703233349686757
AEP,2014-12-31,0.502999992763424
AEP,2015-12-31,0.7390693038973786
AFL,2012-12-31,0.4058308630795538
AFL,2013-12-31,0.4619931401202876
AFL,2014-12-31,0.481987718719001
AFL,2015-12-31,0.7286631136340318
AIG,2012-12-31,0.3807496379254034
AIG,2013-12-31,0.44558063115678803
AIG,2014-12-31,0.4705859525599844
AIG,2015-12-31,0.7197262234213793
AIV,2012-12-31,0.401167021559089
AIV,2013-12-31,0.46354038867826597
AIV,2014-12-31,0.4749148817806367
AIV,2015-12-31,0.7297101811328942
AIZ,2013-12-31,0.4184616635028537
AIZ,2014-12-31,0.48040329447785085
AIZ,2015-12-31,0.7225950966989263
AIZ,2016-12-31,0.40075693108900573
AJG,2013-12-31,0.4313285686089629
AJG,2014-12-31,0.47181011964649266
AJG,2015-12-31,0.7280683911800283
AJG,2016-12-31,0.4353032281813414
AKAM,2012-12-31,0.6927242270094154
AKAM,2013-12-31,0.6184224322950416
AKAM,2014-12-31,0.5659226954442319
AKAM,2015-12-31,0.7883981366644313
ALB,2012-12-31,0.4990476656851621
ALB,2013-12-31,0.5333628355632711
ALB,2014-12-31,0.45094556494638627
ALB,2015-12-31,0.72348793966724
ALK,2012-12-31,0.4681039950609482
ALK,2013-12-31,0.5419974755718779
ALK,2014-12-31,0.5790615936167232
ALK,2015-12-31,0.7954212399779497
ALL,2012-12-31,0.3997303701192383
ALL,2013-12-31,0.46116301251794733
ALL,2014-12-31,0.4968988942972058
ALL,2015-12-31,0.7320881368679798
ALLE,2013-12-31,0.5069745896045809
ALLE,2014-12-31,0.5845463138638676
ALLE,2015-12-31,0.769337673930538
ALLE,2016-12-31,0.5858350129378253
ALXN,2013-12-31,0.5797613776408349
ALXN,2014-12-31,0.6849899977093765
ALXN,2015-12-31,0.700542220572429
ALXN,2016-12-31,0.4778352195987588
AMAT,2013-10-27,7.88044097754792e-08
AMAT,2014-10-26,0.2500000769518613
AMAT,2015-10-25,0.25
AMAT,2016-10-30,0.5810469364131288
AME,2012-12-31,0.5284505573950623
AME,2013-12-31,0.5303732857804211
AME,2014-12-31,0.5733302834022711
AME,2015-12-31,0.7740794047071092
AMG,2012-12-31,0.4320550222190376
AMG,2013-12-31,0.500087068315937
AMG,2014-12-31,0.5231428936966218
AMG,2015-12-31,0.7592666696089745
AMGN,2013-12-31,0.4722046271406039
AMGN,2014-12-31,0.5174320713955469
AMGN,2015-12-31,0.7620628717136733
AMGN,2016-12-31,0.5042133732711427
AMP,2012-12-31,0.3867905769152771
AMP,2013-12-31,0.4460704035000638
AMP,2014-12-31,0.4732339227819359
AMP,2015-12-31,0.7250786704357235
AMT,2012-12-31,0.45221415675540744
AMT,2013-12-31,0.4676436924962998
AMT,2014-12-31,0.5181940266981206
AMT,2015-12-31,0.7440259213634463
AMZN,2013-12-31,0.41247911143265803
AMZN,2014-12-31,0.40895117672276415
AMZN,2015-12-31,0.7385397333432655
AMZN,2016-12-31,0.4461973902729396
AN,2013-12-31,0.4803573044893749
AN,2014-12-31,0.5518937374058916
AN,2015-12-31,0.746272505913629
AN,2016-12-31,0.4686158569352883
ANTM,2012-12-31,0.44117655133043004
ANTM,2013-12-31,0.5128829730413379
ANTM,2014-12-31,0.5153495118179932
ANTM,2015-12-31,0.7625657179225127
AON,2012-12-31,0.425773568050172
AON,2013-12-31,0.47500145369651625
AON,2014-12-31,0.506147671628914
AON,2015-12-31,0.7453914042023505
APA,2012-12-31,0.46713036588427176
APA,2013-12-31,0.4832497519443811
APA,2014-12-31,0.45149455246396974
APA,2015-12-31,0.2786878857833269
APC,2013-12-31,0.45417640573961915
APC,2014-12-31,0.5854583248521283
APC,2015-12-31,0.6358781575776069
APC,2016-12-31,0.3808390942466976
APD,2013-09-30,0.2969156516958052
APD,2014-09-30,0.20848864050370583
APD,2015-09-30,0.5332139314116922
APD,2016-09-30,0.4799744737412106
APH,2012-12-31,0.5398047392781455
APH,2013-12-31,0.5209818279026472
APH,2014-12-31,0.5724164123472885
APH,2015-12-31,0.7764689379115846
ARNC,2012-12-31,0.38865295002909805
ARNC,2013-12-31,0.4261611827251207
ARNC,2014-12-31,0.482793245712402
ARNC,2015-12-31,0.7310038638690882
ATVI,2012-12-31,0.5378238080384418
ATVI,2013-12-31,0.5007516082231069
ATVI,2014-12-31,0.5126721836114666
ATVI,2015-12-31,0.7573042609681864
AVB,2012-12-31,0.40936129044832703
AVB,2013-12-31,0.45039947585647483
AVB,2014-12-31,0.4800874727988497
AVB,2015-12-31,0.732705801023151
AVGO,2015-11-01,0.3333333333333333
AVGO,2016-10-30,6.402580807196578e-08
AVY,2012-12-31,0.4488487062981834
AVY,2013-12-28,0.4529560311863137
AVY,2015-01-03,0.5244827867500769
AVY,2016-01-02,0.5043908057996008
AWK,2012-12-31,0.44025066596471657
AWK,2013-12-31,0.4791768125679664
AWK,2014-12-31,0.5114691543948274
AWK,2015-12-31,0.7466477450176813
AXP,2012-12-31,0.36955670927140044
AXP,2013-12-31,0.43260721156551446
AXP,2014-12-31,0.43467345257580153
AXP,2015-12-31,0.7057763368049645
