symbol,rebalance_date,weight
DFS,2012-11-30,0.3333333333333333
DFS,2012-11-30,0.3333333333333333
DFS,2012-11-30,0.3333333333333333
MNST,2012-12-31,0.02455686448878063
MNST,2012-12-31,0.02455686448878063
MNST,2012-12-31,0.02455686448878063
MNST,2012-12-31,0.02455686448878063
DUK,2012-12-31,0.01902097159394561
CTSH,2012-12-31,0.0195700000758677
CTSH,2012-12-31,0.0195700000758677
MCO,2012-12-31,0.02010245894155343
MCO,2012-12-31,0.02010245894155343
C,2012-12-31,0.0211778460828198
C,2012-12-31,0.0211778460828198
C,2012-12-31,0.0211778460828198
LYB,2012-12-31,0.020716931297246537
LYB,2012-12-31,0.020716931297246537
LYB,2012-12-31,0.020716931297246537
CHRW,2012-12-31,0.019313511172627935
CHRW,2012-12-31,0.019313511172627935
CHRW,2012-12-31,0.019313511172627935
CHRW,2012-12-31,0.019313511172627935
CF,2012-12-31,0.020674967753571763
CF,2012-12-31,0.020674967753571763
CF,2012-12-31,0.020674967753571763
CF,2012-12-31,0.020674967753571763
CF,2012-12-31,0.020674967753571763
LLY,2012-12-31,0.019585889092997105
LLY,2012-12-31,0.019585889092997105
LLY,2012-12-31,0.019585889092997105
CF,2012-12-31,0.020674967753571763
MCD,2012-12-31,0.018600658966254076
MCD,2012-12-31,0.018600658966254076
GWW,2012-12-31,0.019033599129957144
GWW,2012-12-31,0.019033599129957144
GWW,2012-12-31,0.019033599129957144
GWW,2012-12-31,0.019033599129957144
JBHT,2012-12-31,0.01905805041075423
JBHT,2012-12-31,0.01905805041075423
JBHT,2012-12-31,0.01905805041075423
JBHT,2012-12-31,0.01905805041075423
JBHT,2012-12-31,0.01905805041075423
JBHT,2012-12-31,0.01905805041075423
HSY,2012-12-31,0.018504596579658274
HSY,2012-12-31,0.018504596579658274
HSY,2012-12-31,0.018504596579658274
EXPD,2012-12-31,0.01928130709690927
EXPD,2012-12-31,0.01928130709690927
EXPD,2012-12-31,0.01928130709690927
EXPD,2012-12-31,0.01928130709690927
EXPD,2012-12-31,0.01928130709690927
EXPD,2012-12-31,0.01928130709690927
IFF,2012-12-31,0.018775152547664393
URBN,2013-01-31,0.05841562312004909
WMT,2013-01-31,0.0514672569764354
WMT,2013-01-31,0.0514672569764354
WMT,2013-01-31,0.0514672569764354
WMT,2013-01-31,0.0514672569764354
WMT,2013-01-31,0.0514672569764354
TIF,2013-01-31,0.05808190896601521
TIF,2013-01-31,0.05808190896601521
TIF,2013-01-31,0.05808190896601521
TIF,2013-01-31,0.05808190896601521
TIF,2013-01-31,0.05808190896601521
ADSK,2013-01-31,0.05626264959538543
ADSK,2013-01-31,0.05626264959538543
ADSK,2013-01-31,0.05626264959538543
ADSK,2013-01-31,0.05626264959538543
ADSK,2013-01-31,0.05626264959538543
ADSK,2013-01-31,0.05626264959538543
ADSK,2013-01-31,0.05626264959538543
DG,2013-02-28,0.03388033157713868
RHT,2013-02-28,0.034514822438338186
RHT,2013-02-28,0.034514822438338186
RHT,2013-02-28,0.034514822438338186
LOW,2013-02-28,0.034527175115924666
LOW,2013-02-28,0.034527175115924666
KMX,2013-02-28,0.032902076645943364
KMX,2013-02-28,0.032902076645943364
KMX,2013-02-28,0.032902076645943364
STZ,2013-02-28,0.17370365523454182
STZ,2013-02-28,0.17370365523454182
STZ,2013-02-28,0.17370365523454182
STZ,2013-02-28,0.17370365523454182
HRB,2013-04-30,0.11204827426989673
HRB,2013-04-30,0.11204827426989673
HRB,2013-04-30,0.11204827426989673
HRB,2013-04-30,0.11204827426989673
SJM,2013-04-30,0.10731868014879944
SJM,2013-04-30,0.10731868014879944
SJM,2013-04-30,0.10731868014879944
NTAP,2013-04-30,0.11492543123700735
NTAP,2013-04-30,0.11492543123700735
NKE,2013-05-31,0.058707125070971526
NKE,2013-05-31,0.058707125070971526
NKE,2013-05-31,0.058707125070971526
FDX,2013-05-31,0.060653805025111314
FDX,2013-05-31,0.060653805025111314
FDX,2013-05-31,0.060653805025111314
PAYX,2013-05-31,0.05811222783148694
PAYX,2013-05-31,0.05811222783148694
CTAS,2013-05-31,0.05725681992225879
CTAS,2013-05-31,0.05725681992225879
CTAS,2013-05-31,0.05725681992225879
MOS,2013-05-31,0.0617866378601232
MOS,2013-05-31,0.0617866378601232
GPN,2013-05-31,0.05758725464043871
GPN,2013-05-31,0.05758725464043871
GPN,2013-05-31,0.05758725464043871
GPN,2013-05-31,0.05758725464043871
STX,2013-06-30,0.1
STX,2013-06-30,0.1
STX,2013-06-30,0.1
HRS,2013-06-30,0.1
HRS,2013-06-30,0.1
HRS,2013-06-30,0.1
WDC,2013-06-30,0.1
WDC,2013-06-30,0.1
WDC,2013-06-30,0.1
WDC,2013-06-30,0.1
INTU,2013-07-31,0.16756825153629518
INTU,2013-07-31,0.16756825153629518
INTU,2013-07-31,0.16756825153629518
INTU,2013-07-31,0.16756825153629518
INTU,2013-07-31,0.16756825153629518
USB,2013-07-31,0.16215874231852406
MU,2013-08-31,0.3333333333333333
MU,2013-08-31,0.3333333333333333
MU,2013-08-31,0.3333333333333333
ROK,2013-09-30,0.019857295367118506
ROK,2013-09-30,0.019857295367118506
ROK,2013-09-30,0.019857295367118506
V,2013-09-30,0.020426297718223345
V,2013-09-30,0.020426297718223345
V,2013-09-30,0.020426297718223345
SWKS,2013-09-30,0.020921170904675945
SWKS,2013-09-30,0.020921170904675945
SWKS,2013-09-30,0.020921170904675945
FFIV,2013-09-30,0.021741454449398873
FFIV,2013-09-30,0.021741454449398873
FFIV,2013-09-30,0.021741454449398873
VIAB,2013-09-30,0.01912715512365852
VIAB,2013-09-30,0.01912715512365852
VIAB,2013-09-30,0.01912715512365852
VIAB,2013-09-30,0.01912715512365852
VIAB,2013-09-30,0.01912715512365852
COL,2013-09-30,0.020487270807008816
COL,2013-09-30,0.020487270807008816
COL,2013-09-30,0.020487270807008816
EMR,2013-09-30,0.019636820813722953
EMR,2013-09-30,0.019636820813722953
EMR,2013-09-30,0.019636820813722953
EMR,2013-09-30,0.019636820813722953
EMR,2013-09-30,0.019636820813722953
EMR,2013-09-30,0.019636820813722953
EMR,2013-09-30,0.019636820813722953
EMR,2013-09-30,0.019636820813722953
HP,2013-09-30,0.02028251833918566
HP,2013-09-30,0.02028251833918566
HP,2013-09-30,0.02028251833918566
KEY,2013-09-30,0.02051789394840521
KEY,2013-09-30,0.02051789394840521
KEY,2013-09-30,0.02051789394840521
KEY,2013-09-30,0.02051789394840521
KEY,2013-09-30,0.02051789394840521
TDG,2013-09-30,0.020063462454018962
TDG,2013-09-30,0.020063462454018962
BDX,2013-09-30,0.01900446046829789
